Sr.,Station,day,month,year,CO,NO2,SO2,Temperature,Humudity,Noise,O3,Uray,AQI,PM2_5,PM10
2427,5,30,8,2022,1.2,34.94,1.24,33,55,117,34.12,7,55,80.75,67.6
2428,5,31,8,2022,1.38,35.45,1.31,33,54,120,32.14,6,81,42.2,72.1
2429,5,1,9,2022,0.48,40.67,1.67,34,58,125,23.99,7,152,37.07,71.4
2430,5,2,9,2022,1.37,40.67,1.54,33,59,110,28.61,8,94,33.89,76.17
2431,5,3,9,2022,1.05,14.08,1.79,35,52,112,27.5,4,70,30.12,64.07
2432,5,4,9,2022,1.1,73.89,1.62,35,72,110,25.51,6,65,55.42,84.42
2433,5,5,9,2022,0.89,89.68,1.01,31,76,110,26.32,7,65,52.41,84.42
2434,5,6,9,2022,0.68,84.89,1.02,34,79,112,22.66,6,69,37.96,91.88
2435,5,7,9,2022,0.95,86.59,1.2,36,59,117,46.55,8,66,89.74,41.02
2436,5,8,9,2022,0.95,88.67,1.75,37,65,117,36.64,9,71,86.31,55.85
2437,5,9,9,2022,0.75,43.96,1.66,38,58,114,40.49,4,70,45.31,59.75
2438,5,10,9,2022,0.89,42.64,2.71,38,60,90,50.55,4,75,29.81,66.58
2439,5,11,9,2022,1.62,41.78,2.32,38,61,85,29.95,5,75,23.51,59.78
2440,5,12,9,2022,1.46,40.55,2.67,36,59,102,19.95,4,140,29.51,59.65
2441,5,13,9,2022,1.13,40.55,2.16,33,58,106,19.73,8,155,22.06,79.84
2442,5,14,9,2022,1.25,28.64,1.43,34,59,110,35.46,5,60,39.51,55.85
2443,5,15,9,2022,0.97,22.75,2.36,32,57,112,34.32,6,71,42.34,59.75
2444,5,16,9,2022,0.81,30.15,1.65,31,56,117,35.06,4,62,24.66,41.02
2445,5,17,9,2022,0.81,34.2,1.03,32,53,120,38.52,2,59.52,31.2,41.02
2446,5,18,9,2022,1.25,28.64,1.01,34,58,125,35.46,6,60,39.51,55.85
2447,5,19,9,2022,0.88,19.76,1.24,34,54,110,23.66,4,73,43.94,64.07
2448,5,20,9,2022,0.95,30.99,1.31,34,68,112,34.12,5,67,40.24,62.8
2449,5,21,9,2022,0.95,30.99,1.67,33,62,117,34.12,8,67,40.24,62.8
2450,5,22,9,2022,0.66,28.81,1.24,33,59,110,32.14,7,68,40.92,64.57
2451,5,23,9,2022,1.05,41.36,1.86,33,57,110,23.99,6,181,84.33,122.91
2452,5,24,9,2022,2.08,72.28,2.78,33,54,120,31.76,6,125,64.17,136.68
2453,5,25,9,2022,2.08,78.6,2.87,35,59,125,29.19,4,149,74.73,150.66
2454,5,26,9,2022,2.08,78.6,2.18,33,61,110,29.19,7,149,74.73,150.66
2455,5,27,9,2022,2.38,72.94,2.03,35,58,112,20.65,5,175,82.65,145.81
2456,5,28,9,2022,2.41,76.98,1.25,35,54,117,19.42,4,191,87.56,170.62
2457,5,29,9,2022,2.08,71.73,1.53,35,56,120,23.32,6,178,90.23,155.79
2458,5,30,9,2022,1.92,67.67,1.16,35,59,117,28.01,4,187,103.93,116.23
2459,5,1,10,2022,1.92,66.03,1.94,35,57,120,27.47,8,191,117.29,145.47
2460,5,2,10,2022,1.75,69.14,1.06,35,51,125,35.91,7,192,87.79,156.84
2461,5,3,10,2022,1.64,73.78,1.39,35,52,110,31.73,6,119,47.76,128.36
2462,5,4,10,2022,1.78,21.41,1.67,35,53,85,25.67,7,89,20.2,22.25
2463,5,5,10,2022,1.76,26.72,1.54,36,52,102,41.31,5,88,17.61,29.64
2464,5,6,10,2022,1.67,26.72,1.79,37,51,106,44.5,6,83,35.61,32.2
2465,5,7,10,2022,1.67,29.13,1.65,34,49,107,44.5,4,83,40.62,46.57
2466,5,8,10,2022,1.27,16.9,2.56,32,48,115,26.35,7,63,65.86,95.15
2467,5,9,10,2022,1.74,23.15,2.68,33,47,100,37.21,8,87,28.64,104.31
2468,5,10,10,2022,1.74,23.15,1.79,35,46,100,14,5,87,16.2,11.3
2469,5,11,10,2022,1.26,17.37,2.56,34,48,110,45.61,6,63,45.61,39.61
2470,5,12,10,2022,2.1,31.5,2.87,35,49,110,19.84,3,102,35.67,78.56
2471,5,13,10,2022,2.11,32.76,2.59,35,51,110,42.31,6,102,35.61,45.85
2472,5,14,10,2022,1.38,90.66,2.6,35,77,112,35.65,8,169,20.56,85.2
2473,5,15,10,2022,1.36,86.56,2.9,36,73,117,30.22,6,95,15.3,90.88
2474,5,16,10,2022,1.37,85.65,1.02,35,58,120,30.24,8,61,17.49,41.02
2475,5,17,10,2022,1.39,78.65,1.15,35,54,125,30.32,4,76,20.11,54.8
2476,5,18,10,2022,0.7,85.66,1.3,36,56,110,30.54,5,79,34.22,58.2
2477,5,19,10,2022,1.2,88.4,1.64,36,54,120,10.2,7,84,44.3,40.25
2478,5,20,10,2022,1.9,66.3,1.55,36,50,125,15.26,4,95,30.22,41.22
2479,5,21,10,2022,1.35,64.65,1.22,36,53,110,25.24,2,62,25.15,50.55
2480,5,22,10,2022,1.76,81.25,2.15,36,55,112,25.15,5,55,30.25,65.25
2481,5,23,10,2022,1.77,56.32,2.15,36,54,117,30.42,4,62,20.25,64.25
2482,5,24,10,2022,1.41,49.15,2.04,36,52,127,9.31,6,131,79.16,79.7
2483,5,25,10,2022,1.35,48.67,2.01,35,54,139,15.23,8,104,53.52,99.48
2484,5,26,10,2022,1.2,51.09,2.27,36,56,116,10.8,9,104,33.86,90.12
2485,5,27,10,2022,1.3,46.35,2.38,36,53,168,35.65,4,103,55.42,122.06
2486,5,28,10,2022,1.63,76.93,2.07,35,51,110,10.25,6,155,52.41,100
2487,5,29,10,2022,1.54,78.25,2.83,36,54,90,29.64,6,169,37.96,110.12
2488,5,30,10,2022,1.54,57.15,2.36,37,58,95,42.37,4,140,89.74,95.52
2489,5,31,10,2022,1.41,51.2,1.65,35,59,100,68.1,5,102,86.31,77.66
2490,5,1,11,2022,0.98,66.94,2.27,35,65,100,52.99,8,112.12,72.07,83.1
2491,5,2,11,2022,0.98,43.83,2.38,35,53,110,82.71,7,191.12,84.21,100.3
2492,5,3,11,2022,2.58,55.2,2.15,35,55,125,45.61,6,87,28.42,45.2
2493,5,4,11,2022,2.52,55.1,2.15,36,54,110,24.67,3,90.2,20.24,65.91
2494,5,5,11,2022,0.75,63.72,1.24,37,62,112,35.61,4,245,11.14,140.27
2495,5,6,11,2022,1.89,45.2,1.32,37,66,110,51.83,7,215,189.21,120.45
2496,5,7,11,2022,1.58,75.8,1.56,35,76,120,11.35,6,157,72.26,110.71
2497,5,8,11,2022,2.43,46.35,1.29,35,72,116,20.38,8,129,66.16,68.58
2498,5,9,11,2022,1.41,70.4,1.72,35,59,129,26.52,6,104,69.27,125.24
2499,5,10,11,2022,1.15,69.63,1.76,34,57,127,0.84,7,103,82.66,58.14
2500,5,11,11,2022,1.21,58.67,1.59,33,54,118,9.4,8,104,57.28,79.15
2501,5,12,11,2022,1.58,53.74,1.86,33,53,110,29.64,4,104,35.53,62.71
2502,5,13,11,2022,0.78,30.88,2.69,34,57,110,67.77,6,238,101.34,135.5
2503,5,14,11,2022,0.72,26.74,3,33,59,110,76.47,4,145,73.38,100.35
2504,5,15,11,2022,0.61,31.12,1.54,34,58,110,68.5,7,69,35.9,67.98
2505,5,16,11,2022,0.66,34.68,1.79,33,53,120,67.16,8,67,31.91,64.69
2506,5,17,11,2022,0.71,32.61,2.06,34,51,100,65.81,6,67,33,66.96
2507,5,18,11,2022,0.92,37.01,2.91,32,49,110,71.19,4,114,64.02,109.84
2508,5,19,11,2022,1.34,114.04,1.01,33,58,117,54.5,4,134,47.37,120.4
2509,5,20,11,2022,1.64,120.75,1.24,32,59,110,52.55,5,141,62.43,135.03
2510,5,21,11,2022,1.69,118.93,1.31,32,74,110,49.75,6,176,82.76,165.73
2511,5,22,11,2022,1.59,120.66,1.67,31,59,110,50.57,8,141,68.46,139.91
2512,5,23,11,2022,1.36,118.18,1.9,32,55,110,59.47,4,138,50.36,111.61
2513,5,24,11,2022,0.75,86.81,1.03,31,72,110,94.29,6,193,33.37,74.77
2514,5,25,11,2022,0.75,86.81,1.09,31,77,120,94.29,8,193,33.37,74.77
2515,5,26,11,2022,1.31,115.15,2.03,31,66,117,53.4,6,135,51.43,120.13
2516,5,27,11,2022,1.42,119.66,2.06,31,64,120,51.44,6,140,60.36,131.74
2517,5,28,11,2022,1.2,114.36,2.08,32,69,125,64.22,7,135,13.55,92.04
2518,5,29,11,2022,1.12,112.12,1.24,32,58,114,76.43,8,132,55.52,100.57
2519,5,30,11,2022,1.14,117.08,1.86,32,72,90,75.78,5,145,73.38,124.48
2520,5,1,12,2022,1.14,117.08,1.76,31,57,85,75.78,7,145,73.38,124.48
2521,5,2,12,2022,1.2,117.03,1.69,30,79,102,65.67,4,171,81.47,132.37
2522,5,3,12,2022,1.32,123.8,1.71,31,59,106,58.6,6,201,95,156.59
2523,5,4,12,2022,1.26,119.38,1.3,31,67,107,56.25,8,240,102.11,165.51
2524,5,5,12,2022,1.33,124.07,1.64,31,78,108,56.05,4,208,118.43,168.58
2525,5,6,12,2022,1.33,119.66,1.55,30,65,95,58.8,6,196,123.89,109.45
2526,5,7,12,2022,1.21,109.52,1.22,30,78,94,79.39,7,205,91.32,151.78
2527,5,8,12,2022,0.98,88.2,2.15,30,59,92,80.2,4,110,25.2,30.25
2528,5,9,12,2022,1.17,113.51,2.15,30,68,112,79.08,6,134,39.95,82.3
2529,5,10,12,2022,1.09,108.84,2.15,30,63,117,72.56,7,129,45.99,89.51
2530,5,11,12,2022,1.26,114.34,2.05,30,65,110,68.59,8,210,92.79,145.57
2531,5,12,12,2022,1.26,114.34,2.03,31,78,110,68.59,4,210,92.79,145.57
2532,5,13,12,2022,0.77,48.76,2.68,32,54,112,21.03,5,98,59.12,91
2533,5,14,12,2022,0.64,68.5,2,32,66,117,45.02,6,85,22.59,46.12
2534,5,15,12,2022,0.84,55.61,1.5,31,57,117,55.75,5,107,34.69,77.12
2535,5,16,12,2022,1.08,84.17,1.75,32,75,110,44.47,4,105,44.96,88.05
2536,5,17,12,2022,1.19,68.31,1.66,33,73,110,55.01,5,108,48.81,101.04
2537,5,18,12,2022,0.99,68.31,1.8,34,72,110,36.87,6,116,51.45,94.93
2538,5,19,12,2022,0.99,45.5,2.07,33,75,92,36.87,6,114,49.52,94.93
2539,5,20,12,2022,0.9,115.35,1.9,32,72,89,50.49,5,135,49.86,88.72
2540,5,21,12,2022,1.28,99.58,1.03,32,76,96,63.94,6,120,49.63,102.72
2541,5,22,12,2022,1.28,99.58,2.38,32,56,108,63.94,8,120,49.63,102.72
2542,5,23,12,2022,0.88,100.58,2.07,30,53,116,80.61,7,121,47,88.8
2543,5,24,12,2022,1.22,126.63,2.83,27,51,114,72.4,9,178.64,103.33,169.65
2544,5,25,12,2022,1.08,70.63,2.36,27,54,110,76.51,7,104,55.83,103.72
2545,5,26,12,2022,1.06,65.28,1.65,26,58,110,76.21,8,180,84.09,144.42
2546,5,27,12,2022,1.26,129.73,1.03,27,56,112,70.52,6,185,94.49,158.4
2547,5,28,12,2022,1.32,122.18,1.78,28,51,117,73.72,5,122.41,71.14,123.17
2548,5,29,12,2022,1.32,80.45,2.27,28,53,112,73.72,4,142,71.14,123.17
2549,5,30,12,2022,1.35,117.39,2.38,31,59,117,38.62,5,138,63.85,110.31
2550,5,31,12,2022,1.05,106.02,2.07,30,51,96,59.25,6,162,78.73,126.14
2551,5,1,1,2023,1.26,120.53,2.83,28,57,108,69.95,8,154,91.66,152
2552,5,2,1,2023,1.25,123.65,2.36,27,54,116,71.58,4,155,99.16,160.7
2553,5,3,1,2023,1.25,123.65,1.65,27,58,114,71.58,6,156,99.16,160.7
2554,5,4,1,2023,0.82,104.68,1.03,26,59,127,89.4,8,141,73.8,115.79
2555,5,5,1,2023,1.35,117.39,1.01,24,57,139,38.62,6,109,63.85,110.31
2556,5,6,1,2023,1.1,106.92,1.24,24,72,120,52.5,7,102,42.93,101.86
2557,5,7,1,2023,1.7,150,1.31,26,75,125,36.44,8,127,95.08,182.74
2558,5,8,1,2023,1.4,103.93,2.87,28,72,106,54.3,8,157,81.45,138.77
2559,5,9,1,2023,0.85,103.93,2.59,31,76,108,54.3,7,87,74.52,115.52
2560,5,10,1,2023,1.76,98.12,2.49,30,79,109,52.45,5,97,103.98,135.52
2561,5,11,1,2023,1.76,99.12,2.16,30,59,104,51.54,6,85,73.8,135.39
2562,5,12,1,2023,0.99,83.14,2.12,31,61,106,38.5,4,89,51.4,114.01
2563,5,13,1,2023,0.9,82.35,2.68,29,59,123,55.73,7,104,45.12,127.54
2564,5,14,1,2023,0.82,93.04,3,25,58,110,77.76,8,114,77.65,132.73
2565,5,15,1,2023,0.82,93.04,2.51,25,54,110,77.76,4,97,77.65,132.73
2566,5,16,1,2023,1.08,114.26,2.45,25,79,112,75.68,6,89,60.47,119.41
2567,5,17,1,2023,1.08,114.26,1.15,16.72,43,118,75.68,4,134,60.47,119.41
2568,5,18,1,2023,0.95,103.82,1.23,17.93,40,110,85.54,5,124,49.05,92.32
2569,5,19,1,2023,1.07,109.61,2.06,31,59,110,82.61,4,130,56.73,105.75
2570,5,20,1,2023,1.02,99.85,1.55,27,72,112,78.65,6,144,73.17,131.47
2571,5,21,1,2023,0.98,95.44,1.82,27,59,117,69.34,8,144,103.24,151.83
2572,5,22,1,2023,0.9,85.3,1.13,33,45,120,74.17,5,199,89.9,132.42
2573,5,23,1,2023,1.01,100.15,2.76,34,65,112,69.97,2,106,127.21,187.31
2574,5,24,1,2023,1.06,101.24,1.32,33,59,112,64.79,2,340,171.71,244.29
2575,5,25,1,2023,1.07,98.25,2.97,32,60,117,60.98,5,296,145.31,123.72
2576,5,26,1,2023,0.9,64.82,2.07,32,47,117,75.15,4,194,122.85,92.32
2577,5,27,1,2023,0.9,103.27,1.9,32,41,110,79.43,4,132,69.56,123.68
2578,5,28,1,2023,0.9,98.27,1.03,30,49,110,70.48,2,186,85.86,152.26
2579,5,29,1,2023,1.01,100.15,2.38,27,53,110,69.97,7,106,127.21,187.31
2580,5,30,1,2023,1.13,96.46,2.07,27,71,108,43.27,4,157,93.73,121.91
2581,5,31,1,2023,1.1,99.6,1.01,26,68,95,63.21,6,255,106.63,163.01
2582,5,1,2,2023,0.98,97.63,1.53,31,68,110,82.04,4,118,46.35,82.68
2583,5,2,2,2023,1.24,98.12,1.16,30,72,110,86.6,5,118,40.23,82.96
2584,5,3,2,2023,1.24,94.07,2.72,29,49.75,103,77.86,7,114,38.49,82.16
2585,5,4,2,2023,1.46,72.2,1.62,30,43.73,108,70.67,3,120,62.24,123.75
2586,5,5,2,2023,1.46,100,1.72,31,41.56,109,70.67,5,120,62.24,123.75
2587,5,6,2,2023,1.36,112.27,1.76,33,45.94,110,27.21,2,174,82.33,150.04
2588,5,7,2,2023,1.25,82.37,1.59,35,41.69,112,43.03,4,126,60.68,138.49
2589,5,8,2,2023,1.25,82.37,1.86,29,40.87,120,43.03,6,126,60.68,138.49
2590,5,9,2,2023,1.68,68.2,0.56,35,39.48,116,71.09,3,127,53.41,120.2
2591,5,10,2,2023,1.63,84,0.99,36,40.14,129,48.45,2,222,96.59,142.2
2592,5,11,2,2023,1.36,112.27,2.97,32,44.76,127,27.21,4,174,82.33,150.04
2593,5,12,2,2023,1.2,74.63,2.83,33,45.78,118,54.77,5,110,50.89,114.47
2594,5,13,2,2023,1.22,90.55,2.36,31,62.04,110,78.43,7,111,33.88,104.47
2595,5,14,2,2023,1.15,79.2,2.03,33,56,112,64.49,5,116,47.41,123.09
2596,5,15,2,2023,1.61,79.99,1.24,33,57,117,56.15,8,122,50.46,132.35
2597,5,16,2,2023,1.84,52.63,1.79,34,72,110,78.2,7,215,43.43,131.01
2598,5,17,2,2023,1.9,76.44,1.65,33,76,110,32.25,6,131,52.05,145.52
2599,5,18,2,2023,1.95,79.2,2.56,34,73,92,38.28,4,132,48.35,147.09
2600,5,19,2,2023,1.75,74.2,2.68,33,72,89,29.51,5,130,58.06,144.38
2601,5,20,2,2023,1.98,79.2,2.46,34,75,96,39.75,7,154,58.2,142.2
2602,5,21,2,2023,1.98,78.95,1.86,32,72,106,39.75,6,154,75.32,180.42
2603,5,22,2,2023,1.56,80.52,2.06,33,76,107,33.47,4,185,121.01,127.98
2604,5,23,2,2023,1.25,79.2,2.91,32,79,115,43.03,5,126,59.68,138.49
2605,5,24,2,2023,1.52,55.64,2.04,32,59,116,30.74,6,128,65.14,132.54
2606,5,25,2,2023,1.59,103.07,2.01,31,65,118,57.25,6,234.51,214.85,201.3
2607,5,26,2,2023,1.43,100.83,2.06,32,78,116,41.17,5,226.51,195.24,156.24
2608,5,27,2,2023,1.53,99.25,2.91,31,66,110,53.67,7,221,191.45,155.34
2609,5,28,2,2023,1.54,85.61,2.04,31,57,90,57.95,6,218.61,185.61,154.61
2610,5,1,3,2023,1.3,101.79,1.21,29,57,110,57.95,7,159,61.14,47.37
2611,5,2,3,2023,1.49,101.48,1.23,30,58,112,39.22,8,261,61.14,62.43
2612,5,3,3,2023,1.64,114,1.34,34,68,116,42.6,6,246,63.14,82.76
2613,5,4,3,2023,1.65,106.04,1.37,33,66,113,49.37,5,210,64.12,68.46
2614,5,5,3,2023,1.66,100.81,2.27,35,65,115,41.76,8,215,64.12,50.36
2615,5,6,3,2023,1.39,103.46,1.13,36,77,110,47.23,7,202,62.15,33.37
2616,5,7,3,2023,1.27,97.42,1.01,35,78,111,53.18,6,135,34.51,33.37
2617,5,8,3,2023,1.22,104.35,1.46,38,58,112,35.69,7,125,56.23,51.43
2618,5,9,3,2023,0.98,78.17,2.25,39,59,121,56.76,5,122,47.98,79.37
2619,5,10,3,2023,1.37,93.43,150.81,33,78,110,53.34,8,189,168.64,135.24
2620,5,11,3,2023,1.39,75.51,134.89,32,58,112,47.23,4,205,138.46,149.2
2621,5,12,3,2023,1.27,78,131.16,36,59,116,53.18,5,135,58.2,115.71
2622,5,13,3,2023,1.45,99.75,104.38,38,57,15,48.75,6,121,58.86,68.87
2623,5,14,3,2023,1.56,79.52,102.3,35,72,114,33.47,8,185,121.01,127.98
2624,5,15,3,2023,1.25,79.2,110.69,34,75,112,43.03,4,188,108.2,138.49
2625,5,16,3,2023,1.52,55.64,165.25,39,72,110,30.74,6,128,59.58,132.54
2626,5,17,3,2023,1.14,69.21,134.67,32,76,111,56.15,8,184,133.65,137.25
2627,5,18,3,2023,0.87,90.53,89.24,33,79,113,47.57,5,185,132.54,135.29
2628,5,19,3,2023,0.87,60.53,53.45,31,59,116,47.57,6,148,82.07,99.38
2629,5,20,3,2023,0.89,79.2,80.76,33,65,114,31.37,7,198,120.45,138.45
2630,5,21,3,2023,0.9,58.44,74.25,32,59,110,37.71,8,101,39.61,77.99
2631,5,22,3,2023,0.92,76.34,73.63,6,65,109,40.21,4,95,53.28,70.2
2632,5,23,3,2023,0.81,73.28,2.23,35,52,110,32.55,8,91,52.2,71.68
2633,5,24,3,2023,0.85,65.02,1.58,32,56,118,43.54,9,81,52.2,68.95
2634,5,25,3,2023,0.7,65.02,3.58,32,47,110,43.54,8,81,31.72,50.05
2635,5,26,3,2023,0.87,69.46,3.87,35,49,115,59.48,9,89,53.69,73.55
2636,5,27,3,2023,1.1,71.38,4.01,36,51,114,70.36,5,143,53.2,101.16
2637,5,28,3,2023,1.14,76.7,3.88,35,44,111,58.42,6,116,64.79,86.28
2638,5,29,3,2023,1.12,75.5,2.55,36,49,110,36.93,5,164,79.15,96.76
2639,5,30,3,2023,1.61,79.99,3.74,38,51,118,56.15,8,122,50.46,132.35
2640,5,31,3,2023,1.49,79.34,4.12,37,52,115,39.22,7,198,102.2,138.28
2641,5,1,4,2023,0.91,72.98,3.87,35,48,110,34.2,9,189.64,152.31,109.68
2642,5,2,4,2023,1.24,68.63,2.21,33,49,117,44.74,5,176,101,130.28
2643,5,3,4,2023,1.24,68.63,2.08,35,55,119,44.74,4,176.51,119.64,120.31
2644,5,4,4,2023,1.11,70.32,1.99,37,52,120,23.81,8,103,59.66,79.49
2645,5,5,4,2023,1.19,63.23,2.28,32,49,115,37.1,9,111,78.2,102.28
2646,5,6,4,2023,1.4,79.2,3.46,35,51,110,54.3,5,171,81.45,138.77
2647,5,7,4,2023,1.4,75.25,7.86,32,55,112,47.06,8,197,89.1,114.79
2648,5,8,4,2023,1.71,70.94,9.67,32,49,111,51.1,9,108,51.2,97.2
2649,5,9,4,2023,1.56,70,11.69,31,45,110,44.39,5,129,102.2,120.28
2650,5,10,4,2023,1.55,71.98,2.59,33,44,113,38.58,6,128,56.59,108.75
2651,5,11,4,2023,1.6,59.03,14.25,32,48,114,31.71,7,189,86.69,120.62
2652,5,12,4,2023,1.16,61.03,25.07,31,58,110,39.99,8,135,98.2,125.3
2653,5,13,4,2023,1.4,79.2,5.14,32,55,112,54.3,9,171,81.45,138.77
2654,5,14,4,2023,1.21,58.2,4.61,30,56,111,33.25,6,140,75.65,112.65
2655,5,15,4,2023,1.19,63.89,3.75,32,52,110,36,7,113,59.2,100.98
2656,5,16,4,2023,1.31,67.84,5.45,33,51,116,25.93,8,160,101.2,140.65
2657,5,17,4,2023,1.31,67.84,3.25,32,49,115,25.93,8,160,98.2,115.28
2658,5,18,4,2023,1.57,68.2,1.76,33,50,110,23.34,9,143,98.2,110.28
2659,5,19,4,2023,1.71,40.94,1.12,30,47,113,51.1,7,108,51.2,68.2
2660,5,20,4,2023,1.16,63.98,2.12,31,53,114,36.14,8,142,88.28,114.28
2661,5,21,4,2023,1.23,76.04,1.28,32,55,110,32.3,7,128,95.29,102.46
2662,5,22,4,2023,1.19,63.89,2.56,31,49,112,36,8,113,59.2,100.98
2663,5,23,4,2023,1.01,58.77,2.22,30,58,116,42.5,5,127,98.2,104.26
2664,5,24,4,2023,1.09,67.09,1.58,33,51,110,51.95,6,142,60.89,120
2665,5,25,4,2023,1.38,76.53,2.01,31,48,109,58.64,7,145,94.28,114.56
2666,5,26,4,2023,1.34,54.2,2.79,33,57,110,43.5,5,110,59.03,80.91
2667,5,27,4,2023,1.16,63.98,2.12,34,53,115,36.14,6,142,88.28,114.28
2668,5,28,4,2023,1.6,59.03,2.06,33,54,116,31.71,4,169,66.69,80.57
2669,5,29,4,2023,1.09,67.09,2.83,34,57,118,51.95,7,142,60.89,120
2670,5,30,4,2023,1.09,67.09,2.36,33,51,120,51.95,5,142,60.89,120
2671,5,1,5,2023,1.16,63.98,1.65,34,52,125,36.14,4,142,88.28,114.28
2672,5,2,5,2023,0.81,37.2,1.03,32,56,110,37.34,6,142,91.28,101.25
2673,5,3,5,2023,0.81,78.98,1.01,33,53,112,37.34,4,98,31.59,51.64
2674,5,4,5,2023,1.09,67.09,1.24,32,58,168,51.95,6,142,60.89,120
2675,5,5,5,2023,1.09,67.09,1.31,32,57,112,51.95,5,142,60.89,120
2676,5,6,5,2023,0.7,65.02,1.67,31,59,110,43.54,7,81,31.72,50.05
2677,5,7,5,2023,0.96,56.38,1.24,32,58,110,34.41,6,71,11.23,26.43
2678,5,8,5,2023,0.81,78.98,1.31,31,53,110,37.34,5,98,31.59,51.64
2679,5,9,5,2023,0.71,31.93,1.67,31,51,112,48.14,4,118,74.2,94.28
2680,5,10,5,2023,0.71,31.93,1.54,31,49,110,48.14,8,48,11.77,35.41
2681,5,11,5,2023,1.21,20.59,1.79,31,56,110,66.26,7,66,14.57,39.44
2682,5,12,5,2023,1.2,18.76,2.31,32,59,112,62.57,6,63,21.96,56.01
2683,5,13,5,2023,1.24,19.06,2.68,32,54,92,49.12,8,49,16.59,44.13
2684,5,14,5,2023,1.09,67.09,1.48,33,51,89,51.95,4,142,60.89,120
2685,5,15,5,2023,0.91,16.54,1.64,32,56,96,28.58,5,51.26,15.31,23.97
2686,5,16,5,2023,1.12,33.13,1.79,29,57,110,30.08,8,137,109.3,114.28
2687,5,17,5,2023,1.49,79.34,2.56,31,53,115,39.22,7,198,102.2,138.28
2688,5,18,5,2023,1.27,78,2.87,33,58,112,53.18,5,136,58.2,115.71
2689,5,19,5,2023,1.14,69.21,2.59,33,51,117,56.15,6,154,113.2,127.25
2690,5,20,5,2023,1.16,63.98,2.49,34,54,120,36.14,4,143,85.49,116.28
2691,5,21,5,2023,0.7,65.02,2.16,33,53,110,43.54,6,81,31.72,50.05
2692,5,22,5,2023,1.06,70.06,2.12,33,52,110,43.7,9,152,92.2,114.28
2693,5,23,5,2023,1.06,70.06,2.68,34,56,116,43.7,4,152,92.2,114.28
2694,5,24,5,2023,1.55,74.15,2.56,33,55,123,46.2,6,150,97.15,142.55
2695,5,25,5,2023,0.92,76.34,2.38,35,54,116,40.21,8,98,53.28,70.2
2696,5,26,5,2023,1.12,65.15,2.07,35,57,113,47.21,5,151,98.15,141.55
2697,5,27,5,2023,1.56,67.89,2.83,31,51,114,60.56,6,149,110.78,145.89
2698,5,28,5,2023,1.55,66.15,2.36,34,52,90,61.5,8,150,121.05,145.89
2699,5,29,5,2023,1.65,64.88,1.65,31,56,112,56.45,5,155,115.89,150.45
2700,5,30,5,2023,1,55.55,2.23,30,68,110,51.55,6,159,120.48,140.15
2701,5,31,5,2023,1.69,58.98,11.69,31,45,110,45.84,5,93,43.56,90.2
2702,5,1,6,2023,1.01,66.58,2.9,31,59,114,56.55,4,134,65.25,129.88
2703,5,2,6,2023,0.98,56.66,1.66,31,68,110,35.65,5,132,56.88,129.88
2704,5,3,6,2023,0.52,52.33,1.02,31,63,112,92.53,6,101.36,44.85,89.85
2705,5,4,6,2023,0.25,71.49,1.02,32,65,111,16.55,6,105,6.31,16.89
2706,5,5,6,2023,1.07,68.43,1.2,32,76,110,42.07,5,108.54,55.21,78.26
2707,5,6,6,2023,1.02,34.28,1.09,35,56,116,41.07,6,154,110.2,124.28
2708,5,7,6,2023,1.26,54.27,2.03,29,57,115,47.02,8,68,30.14,54.4
2709,5,8,6,2023,1.62,50.38,2.06,32,54,110,25.36,9,81,33.89,75.66
2710,5,9,6,2023,0.41,33.72,2.15,32,51,113,60.41,4,61,28.4,34.81
2711,5,10,6,2023,1.71,27.22,2.15,32,53,114,35.41,6,95,44.58,58.17
2712,5,11,6,2023,1.12,32.2,1.24,32,51,110,31.08,5,65,38.34,128.36
2713,5,12,6,2023,1.22,48.45,1.54,35,29.37,110,72.33,7,94,41.15,62.12
2714,5,13,6,2023,0.89,90.57,1.79,35,31.17,110,40.21,6,117,48.45,96.15
2715,5,14,6,2023,0.98,39,1.65,36,34.43,110,39.12,5,111,50.45,98.45
2716,5,15,6,2023,0.84,64.97,2.56,37,34.02,112,56.16,4,72.52,58.25,43.67
2717,5,16,6,2023,1.06,78.28,2.68,37,30.77,110,45.37,8,112,23.08,45.09
2718,5,17,6,2023,1.06,58.28,2.46,35,32.56,110,45.37,6,117,33.08,45.09
2719,5,18,6,2023,1.005,58.28,2.79,35,39.4,115,49.67,5,117,59.45,45.09
2720,5,19,6,2023,0.52,52.33,2.12,35,48.56,116,92.53,3,101.36,44.85,89.85
2721,5,20,6,2023,1.19,63.89,2.68,34,36.88,118,36,2,113,59.2,100.98
2722,5,21,6,2023,1.62,50.38,2.56,33,73,116,25.36,4,81,33.89,75.66
2723,5,22,6,2023,0.92,76.34,2.67,33,74,123,40.21,4,99,53.28,70.2
2724,5,23,6,2023,1.62,50.38,2.98,34,59,116,25.36,6,81,33.89,75.66
2725,5,24,6,2023,1.62,50.38,0.98,33,58,113,55.36,5,81,33.89,75.66
2726,5,25,6,2023,1.16,63.98,2.68,34,64,116,36.14,8,133,58.36,114.28
2727,5,26,6,2023,0.68,16.54,2.78,33,74,113,28.58,8,51.26,15.31,23.97
2728,5,27,6,2023,0.25,71.49,1.85,34,76,114,16.55,9,105,15.95,16.89
